# File generated by CMD 3.1 (http://stev.oapd.inaf.it/cmd) on Tue Nov 13 01:44:26 CET 2018
# isochrones PARSEC release v1.2S + COLIBRI release PR16, as in Marigo et al. 2017
# Basic reference: Marigo et al. (2017), ApJ, 835, 77
# Photometric system: Gaia DR2 + Tycho2 + 2MASS (all Vegamags, Gaia passbands from Evans et al. 2018)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# Kind of output: isochrone tables
# isochrone terminated
# File generated by CMD 3.1 (http://stev.oapd.inaf.it/cmd) on Tue Nov 13 01:42:01 CET 2018
# isochrones PARSEC release v1.2S + COLIBRI release PR16, as in Marigo et al. 2017
# Basic reference: Marigo et al. (2017), ApJ, 835, 77
# Photometric system: TESS + 2MASS (Vegamags) + Kepler + SDSS <i>griz</i> + DDO51 (in ABmags)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# Kind of output: isochrone tables
# isochrone terminated
  Zini |          Age |         Mini |  Mass |   logL |  logTe |   logg | label | McoreTP |   C_O | period0 | period1 | pmode |     Mloss | tau1m |      X |      Y |       Xc |        Xn |       Xo | Cexcess |       Z | mbolmag |   Gmag | G_BPmag | G_RPmag | B_Tmag | V_Tmag |   Jmag |   Hmag |  Ksmag | TESSmag | Keplermag |   gmag |   rmag |   imag |   zmag
0.0152 | 5000000000.0 | 0.0900000036 |  0.09 | -3.424 | 3.3623 |  5.217 |     1 |     0.0 | 0.545 |     0.0 |     0.0 |    -1 | -3.89e-17 |   0.0 | 0.7086 | 0.2761 | 0.002746 | 0.0007408 | 0.006719 |    -1.0 | 0.01527 |   13.33 | 14.957 |  17.627 |  13.632 | 20.085 | 17.599 | 11.199 | 10.662 | 10.386 |  13.446 |    15.293 | 18.495 | 16.707 | 14.442 | 13.127
0.0152 | 5000000000.0 | 0.1000000015 |   0.1 | -3.241 | 3.3881 |  5.184 |     1 |     0.0 | 0.545 |     0.0 |     0.0 |    -1 | -5.84e-17 |   0.0 | 0.7084 | 0.2763 | 0.002746 | 0.0007408 | 0.006719 |    -1.0 | 0.01527 |  12.874 |   14.5 |  17.161 |  13.175 | 19.589 | 17.132 | 10.742 | 10.208 |  9.929 |  12.988 |    14.836 | 18.024 | 16.245 | 13.986 |  12.67
0.0152 | 5000000000.0 | 0.1157373935 | 0.116 | -3.029 |  3.416 |  5.147 |     1 |     0.0 | 0.545 |     0.0 |     0.0 |    -1 | -9.23e-17 |   0.0 | 0.7081 | 0.2766 | 0.002746 | 0.0007408 | 0.006719 |    -1.0 | 0.01527 |  12.343 | 13.959 |  16.594 |  12.636 | 18.976 | 16.563 | 10.214 |  9.684 |  9.402 |   12.45 |    14.293 | 17.448 | 15.684 | 13.442 | 12.133
0.0152 | 5000000000.0 | 0.1200000122 |  0.12 | -2.977 | 3.4229 |  5.138 |     1 |     0.0 | 0.545 |     0.0 |     0.0 |    -1 | -1.03e-16 |   0.0 |  0.708 | 0.2767 | 0.002746 | 0.0007408 | 0.006719 |    -1.0 | 0.01527 |  12.212 | 13.765 |  16.292 |  12.455 | 18.591 |  16.26 | 10.098 |  9.572 |  9.291 |   12.28 |    14.082 | 17.132 |  15.39 | 13.227 | 11.972
0.0152 | 5000000000.0 | 0.1400000006 |  0.14 | -2.793 | 3.4432 |  5.102 |     1 |     0.0 | 0.545 |     0.0 |     0.0 |    -1 | -1.52e-16 |   0.0 | 0.7076 | 0.2771 | 0.002746 | 0.0007408 | 0.006719 |    -1.0 | 0.01527 |  11.753 | 13.117 |  15.344 |  11.846 | 17.482 | 15.309 |   9.69 |  9.166 |  8.896 |  11.705 |    13.383 | 16.158 | 14.452 | 12.517 | 11.432
0.0152 | 5000000000.0 | 0.1556702703 | 0.156 | -2.681 |  3.454 |  5.079 |     1 |     0.0 | 0.545 |     0.0 |     0.0 |    -1 | -1.92e-16 |   0.0 | 0.7074 | 0.2774 | 0.002746 | 0.0007408 | 0.006719 |    -1.0 | 0.01527 |  11.473 | 12.746 |  14.814 |  11.499 | 16.868 |  14.78 |  9.439 |  8.915 |  8.649 |  11.374 |    12.988 | 15.612 | 13.931 | 12.129 | 11.121
0.0152 | 5000000000.0 | 0.1599999964 |  0.16 | -2.652 | 3.4567 |  5.073 |     1 |     0.0 | 0.545 |     0.0 |     0.0 |    -1 | -2.04e-16 |   0.0 | 0.7073 | 0.2774 | 0.002746 | 0.0007408 | 0.006719 |    -1.0 | 0.01527 |  11.401 | 12.651 |  14.678 |   11.41 | 16.709 | 14.643 |  9.374 |  8.851 |  8.585 |  11.289 |    12.886 | 15.471 | 13.796 |  12.03 | 11.041
0.0152 | 5000000000.0 |  0.200000003 |   0.2 | -2.436 | 3.4755 |  5.029 |     1 |     0.0 | 0.545 |     0.0 |     0.0 |    -1 | -3.16e-16 |   0.0 | 0.7067 | 0.2781 | 0.002746 | 0.0007408 | 0.006719 |    -1.0 | 0.01527 |  10.859 | 11.968 |  13.745 |  10.773 | 15.629 | 13.709 |  8.884 |  8.362 |  8.101 |  10.674 |     12.17 | 14.501 |  12.88 |  11.34 | 10.465
0.0152 | 5000000000.0 |         0.25 |  0.25 | -2.229 | 3.4919 |  4.985 |     1 |     0.0 | 0.545 |     0.0 |     0.0 |    -1 | -4.77e-16 |   0.0 | 0.7061 | 0.2787 | 0.002746 | 0.0007408 | 0.006719 |    -1.0 | 0.01527 |  10.343 | 11.335 |  12.926 |  10.181 | 14.705 | 12.888 |   8.41 |  7.887 |  7.634 |  10.099 |    11.512 | 13.647 | 12.078 | 10.711 |  9.924
0.0152 | 5000000000.0 | 0.3000000119 |   0.3 | -2.067 | 3.5027 |  4.945 |     1 |     0.0 | 0.545 |     0.0 |     0.0 |    -1 | -4.88e-16 |   0.0 | 0.7058 |  0.279 | 0.002746 | 0.0007408 | 0.006719 |    -1.0 | 0.01527 |   9.938 | 10.858 |  12.343 |   9.731 | 14.067 | 12.302 |  8.031 |  7.507 |   7.26 |   9.658 |    11.019 | 13.042 | 11.504 |  10.24 |  9.507
0.0152 | 5000000000.0 | 0.3050968945 | 0.305 | -2.051 | 3.5036 |   4.94 |     1 |     0.0 | 0.545 |     0.0 |     0.0 |    -1 | -5.22e-16 |   0.0 | 0.7062 | 0.2785 | 0.002746 | 0.0007408 | 0.006719 |    -1.0 | 0.01527 |   9.897 |  10.81 |  12.286 |   9.685 | 14.006 | 12.246 |  7.992 |  7.467 |  7.221 |   9.613 |     10.97 | 12.984 | 11.449 | 10.192 |  9.464
0.0152 | 5000000000.0 | 0.3500000238 |  0.35 | -1.912 | 3.5113 |  4.892 |     1 |     0.0 | 0.545 |     0.0 |     0.0 |    -1 | -9.31e-16 |   0.0 |  0.709 | 0.2757 | 0.002746 | 0.0007408 | 0.006719 |    -1.0 | 0.01527 |   9.551 | 10.413 |  11.822 |   9.307 | 13.506 |  11.78 |  7.663 |  7.136 |  6.894 |   9.242 |    10.563 | 12.504 | 10.992 |  9.802 |  9.109
0.0152 | 5000000000.0 | 0.3710074127 | 0.371 |  -1.85 | 3.5161 |  4.874 |     1 |     0.0 | 0.545 |     0.0 |     0.0 |    -1 | -1.07e-15 |   0.0 | 0.7091 | 0.2757 | 0.002746 | 0.0007408 | 0.006719 |    -1.0 | 0.01527 |   9.394 | 10.226 |  11.593 |   9.132 | 13.256 |  11.55 |  7.518 |  6.989 |  6.749 |    9.07 |     10.37 | 12.267 | 10.768 |  9.618 |  8.948
0.0152 | 5000000000.0 | 0.4000000358 |   0.4 | -1.769 | 3.5224 |  4.851 |     1 |     0.0 | 0.545 |     0.0 |     0.0 |    -1 | -1.27e-15 |   0.0 | 0.7091 | 0.2756 | 0.002746 | 0.0007408 | 0.006719 |    -1.0 | 0.01527 |   9.192 |  9.985 |  11.304 |   8.906 | 12.942 |  11.26 |   7.33 |  6.796 |  6.561 |   8.849 |    10.122 | 11.965 | 10.485 |  9.383 |  8.741
0.0152 | 5000000000.0 | 0.4500000477 |  0.45 |  -1.62 | 3.5345 |  4.801 |     1 |     0.0 | 0.545 |     0.0 |     0.0 |    -1 | -1.79e-15 |   0.0 | 0.7092 | 0.2755 | 0.002746 | 0.0007408 | 0.006719 |    -1.0 | 0.01527 |    8.82 |  9.537 |  10.765 |   8.489 | 12.359 | 10.719 |  6.987 |  6.445 |  6.215 |   8.441 |     9.661 | 11.406 |  9.957 |  8.949 |  8.361
0.0152 | 5000000000.0 |          0.5 |   0.5 | -1.464 | 3.5494 |  4.751 |     1 |     0.0 | 0.545 |     0.0 |     0.0 |    -1 | -2.57e-15 |   0.0 | 0.7092 | 0.2755 | 0.002746 | 0.0007408 | 0.006719 |    -1.0 | 0.01527 |    8.43 |  9.061 |  10.189 |   8.051 | 11.741 | 10.142 |  6.635 |  6.082 |  5.855 |   8.012 |      9.17 | 10.808 |  9.393 |  8.494 |  7.968
0.0152 | 5000000000.0 | 0.5251870155 | 0.525 | -1.378 | 3.5593 |  4.725 |     1 |     0.0 | 0.545 |     0.0 |     0.0 |    -1 | -3.15e-15 |   0.0 | 0.7149 | 0.2701 | 0.002695 | 0.0007272 | 0.006596 |    -1.0 |   0.015 |   8.214 |  8.793 |   9.864 |   7.807 | 11.393 |  9.816 |  6.444 |  5.882 |  5.659 |   7.774 |     8.894 |  10.47 |  9.075 |  8.239 |  7.752
0.0152 | 5000000000.0 | 0.5500000119 |  0.55 | -1.296 | 3.5686 |  4.701 |     1 |     0.0 | 0.545 |     0.0 |     0.0 |    -1 | -3.82e-15 |   0.0 | 0.7209 | 0.2644 | 0.002642 | 0.0007129 | 0.006467 |    -1.0 |  0.0147 |   8.011 |  8.544 |   9.565 |   7.579 |  11.08 |  9.516 |  6.265 |  5.693 |  5.476 |   7.551 |     8.637 | 10.162 |  8.783 |  8.003 |  7.551
0.0152 | 5000000000.0 | 0.6000000238 |   0.6 | -1.129 | 3.5924 |  4.667 |     1 |     0.0 | 0.545 |     0.0 |     0.0 |    -1 | -5.59e-15 |   0.0 | 0.7226 | 0.2627 | 0.002627 |  0.000709 | 0.006432 |    -1.0 | 0.01467 |   7.593 |  8.019 |   8.916 |   7.112 | 10.249 |  8.887 |  5.883 |   5.26 |   5.11 |   7.091 |     8.101 |  9.463 |  8.174 |  7.529 |  7.143
0.0152 | 5000000000.0 | 0.6499999762 |  0.65 |  -0.96 |  3.621 |  4.647 |     1 |     0.0 | 0.545 |     0.0 |     0.0 |    -1 |  -8.1e-15 |   0.0 | 0.7243 | 0.2612 | 0.002614 | 0.0007054 | 0.006399 |    -1.0 | 0.01458 |   7.171 |  7.449 |   8.171 |   6.642 |   9.42 |  8.128 |  5.573 |  4.892 |  4.779 |   6.635 |     7.508 |  8.651 |  7.475 |  7.038 |  6.779
0.0152 | 5000000000.0 | 0.7000000477 |   0.7 | -0.798 | 3.6504 |  4.635 |     1 |     0.0 | 0.545 |     0.0 |     0.0 |    -1 | -1.15e-14 |   0.0 | 0.7258 | 0.2597 | 0.002601 | 0.0007021 |  0.00637 |    -1.0 | 0.01446 |   6.764 |  6.921 |   7.529 |   6.191 |  8.665 |  7.463 |  5.248 |  4.613 |   4.52 |   6.191 |      6.97 |  7.919 |  6.902 |  6.576 |  6.393
0.0152 | 5000000000.0 |  0.728708148 | 0.729 | -0.707 | 3.6673 |  4.629 |     1 |     0.0 |  0.54 |     0.0 |     0.0 |    -1 |  -1.4e-14 |   0.0 | 0.7268 | 0.2588 | 0.002573 | 0.0006994 | 0.006351 |    -1.0 | 0.01442 |   6.537 |  6.629 |   7.182 |   5.941 |  8.243 |  7.104 |  5.068 |  4.485 |  4.402 |   5.944 |     6.675 |  7.519 |  6.602 |   6.32 |   6.17
0.0152 | 5000000000.0 |         0.75 |  0.75 | -0.641 | 3.6793 |  4.624 |     1 |     0.0 | 0.537 |     0.0 |     0.0 |    -1 | -1.61e-14 |   0.0 | 0.7275 | 0.2581 | 0.002553 | 0.0006975 | 0.006338 |    -1.0 | 0.01442 |   6.373 |  6.423 |    6.94 |   5.764 |  7.945 |  6.854 |  4.939 |  4.396 |  4.319 |   5.768 |     6.468 |   7.24 |  6.394 |   6.14 |  6.011
0.0152 | 5000000000.0 |  0.791693449 | 0.792 | -0.521 | 3.6976 |    4.6 |     1 |     0.0 | 0.537 |     0.0 |     0.0 |    -1 | -2.13e-14 |   0.0 | 0.7295 | 0.2562 | 0.002537 |  0.000693 | 0.006299 |    -1.0 | 0.01433 |   6.072 |  6.067 |   6.532 |   5.451 |  7.455 |  6.439 |  4.697 |  4.211 |  4.144 |   5.456 |     6.112 |  6.784 |  6.037 |  5.823 |  5.722
0.0152 | 5000000000.0 | 0.8000000119 |   0.8 | -0.497 | 3.7012 |  4.595 |     1 |     0.0 | 0.537 |     0.0 |     0.0 |    -1 | -2.25e-14 |   0.0 | 0.7299 | 0.2558 | 0.002534 | 0.0006922 | 0.006291 |    -1.0 | 0.01432 |   6.013 |    6.0 |   6.456 |   5.392 |  7.363 |  6.362 |  4.651 |  4.176 |   4.11 |   5.397 |     6.045 |    6.7 |   5.97 |  5.763 |  5.667
0.0152 | 5000000000.0 | 0.8059350848 | 0.806 |  -0.48 | 3.7036 |  4.591 |     1 |     0.0 | 0.537 |     0.0 |     0.0 |    -1 | -2.34e-14 |   0.0 | 0.7302 | 0.2555 | 0.002531 | 0.0006914 | 0.006284 |    -1.0 |  0.0143 |   5.971 |  5.952 |   6.402 |   5.349 |  7.297 |  6.308 |  4.618 |   4.15 |  4.085 |   5.355 |     5.997 |  6.641 |  5.923 |  5.719 |  5.627
0.0152 | 5000000000.0 | 0.8437652588 | 0.843 | -0.374 |  3.719 |  4.566 |     1 |     0.0 | 0.537 |     0.0 |     0.0 |    -1 | -3.01e-14 |   0.0 | 0.7323 | 0.2535 | 0.002513 | 0.0006869 | 0.006242 |    -1.0 | 0.01422 |   5.705 |  5.654 |   6.066 |   5.084 |  6.889 |  5.972 |  4.408 |  3.985 |  3.927 |   5.091 |       5.7 |  6.273 |  5.627 |  5.451 |   5.38
0.0152 | 5000000000.0 | 0.8500000238 |  0.85 | -0.357 | 3.7214 |  4.562 |     1 |     0.0 | 0.537 |     0.0 |     0.0 |    -1 | -3.13e-14 |   0.0 | 0.7327 | 0.2531 |  0.00251 | 0.0006861 | 0.006235 |    -1.0 | 0.01421 |   5.662 |  5.606 |   6.012 |   5.041 |  6.823 |  5.918 |  4.374 |  3.958 |  3.901 |   5.049 |     5.653 |  6.214 |  5.579 |  5.408 |   5.34
0.0152 | 5000000000.0 |  0.859793067 | 0.859 |  -0.33 | 3.7251 |  4.554 |     1 |     0.0 | 0.537 |     0.0 |     0.0 |    -1 | -3.34e-14 |   0.0 | 0.7334 | 0.2525 | 0.002505 | 0.0006846 | 0.006222 |    -1.0 | 0.01417 |   5.594 |  5.532 |   5.929 |   4.974 |  6.722 |  5.836 |   4.32 |  3.914 |   3.86 |   4.982 |     5.579 |  6.124 |  5.506 |   5.34 |  5.278
0.0152 | 5000000000.0 | 0.8928137422 | 0.892 | -0.239 | 3.7371 |  4.528 |     1 |     0.0 | 0.537 |     0.0 |     0.0 |    -1 | -4.17e-14 |   0.0 | 0.7357 | 0.2503 | 0.002486 | 0.0006794 | 0.006176 |    -1.0 | 0.01402 |   5.368 |  5.287 |   5.656 |   4.754 |  6.391 |  5.568 |  4.141 |  3.767 |  3.717 |   4.764 |     5.335 |  5.831 |  5.265 |  5.119 |  5.072
0.0152 | 5000000000.0 | 0.9000000358 | 0.899 | -0.219 | 3.7396 |  4.522 |     1 |     0.0 | 0.537 |     0.0 |     0.0 |    -1 | -4.37e-14 |   0.0 | 0.7362 | 0.2498 | 0.002481 | 0.0006783 | 0.006166 |    -1.0 | 0.01401 |   5.319 |  5.235 |   5.599 |   4.708 |  6.321 |  5.512 |  4.103 |  3.735 |  3.686 |   4.717 |     5.284 |  5.769 |  5.214 |  5.071 |  5.028
0.0152 | 5000000000.0 | 0.9022125006 | 0.902 | -0.213 | 3.7403 |   4.52 |     1 |     0.0 | 0.537 |     0.0 |     0.0 |    -1 | -4.44e-14 |   0.0 | 0.7364 | 0.2496 |  0.00248 | 0.0006778 | 0.006162 |    -1.0 |   0.014 |   5.304 |  5.219 |   5.581 |   4.693 |    6.3 |  5.495 |  4.091 |  3.725 |  3.677 |   4.703 |     5.268 |   5.75 |  5.199 |  5.057 |  5.014
0.0152 | 5000000000.0 | 0.9209694862 |  0.92 | -0.162 | 3.7465 |  4.502 |     1 |     0.0 | 0.536 |     0.0 |     0.0 |    -1 | -5.05e-14 |   0.0 | 0.7381 |  0.248 | 0.002466 | 0.0006741 | 0.006128 |    -1.0 | 0.01393 |   5.175 |  5.084 |   5.433 |   4.572 |  6.121 |   5.35 |  3.989 |  3.638 |  3.592 |   4.582 |     5.135 |  5.592 |  5.066 |  4.934 |  4.899
